student number: 2222222,Age: 18,Gender: 1
Trial No,Trial Type,Top Word,Bottom Word,Response,RT,Dot Pos(1:T 2:B),
1,Practice,logistics,diagonal,1,589,2
2,Practice,subsequent,rectangular,1,367,2
3,Practice,multitude,infuser,1,43,1
4,Practice,localized,input,1,107,2
5,Practice,limestone,numerical,1,121,2
6,Practice,edition,contrast,1,79,1
7,Practice,infuser,multitude,1,70,2
8,Practice,diagonal,logistics,1,101,2
9,Practice,seat,scoop,1,67,1
10,Practice,marksman,ten,1,67,1
11,Practice,aluminium,banner,1,98,1
12,Practice,linear,flatten,1,409,2
13,Practice,input,localized,1,539,2
14,Practice,scoop,seat,1,1311,1
15,Practice,ten,marksman,1,373,1
16,Practice,rectangular,subsequent,1,4088,2
17,Practice,numerical,limestone,1,599,1
18,Practice,matchbook,informal,1,97,1
19,Practice,banner,aluminium,1,200,2
20,Practice,washer,collar,1,106,1
21,Practice,midst,adobe,1,128,1
22,Practice,indicate,geometric,1,53,2
23,Practice,contrast,edition,1,53,1
24,Practice,adobe,midst,1,24,2
25,Practice,flatten,linear,1,737,1
26,Practice,checkers,keyboard,1,558,2
27,Practice,geometric,indicate,1,138,1
28,Practice,informal,matchbook,1,55,1
29,Practice,collar,washer,1,71,2
30,Practice,keyboard,checkers,1,54,2
1,Main,setting,victory,1,91,1
2,Main,dead,room,1,66,1
3,Main,mile,bury,1,3201,2
4,Main,equivalent,excellence,1,379,1
5,Main,taxi,grave,1,255,2
6,Main,criticism,conductor,1,119,1
7,Main,title,cheer,1,172,1
8,Main,setting,victory,1,119,1
9,Main,excellence,equivalent,1,5,1
10,Main,watches,miracle,1,39,1
11,Main,cheer,title,1,399,2
12,Main,dishonesty,deductions,1,297,1
13,Main,killed,having,1,144,2
14,Main,reviewing,repulsive,1,117,1
15,Main,machines,laughter,1,82,1
16,Main,appetite,kindness,1,113,1
17,Main,murder,except,1,87,1
18,Main,triangle,betrayal,1,205,1
19,Main,success,section,1,359,2
20,Main,kindness,appetite,1,163,2
21,Main,conductor,criticism,1,487,1
22,Main,except,murder,1,278,1
23,Main,broad,skull,1,173,1
24,Main,deductions,dishonesty,1,113,1
25,Main,room,dead,1,127,1
26,Main,miracle,watches,1,236,1
27,Main,section,success,1,61,1
28,Main,vomit,topic,1,197,2
29,Main,having,killed,1,47,1
30,Main,success,section,1,24,1
31,Main,cramp,paged,1,24,1
